user_id,account_id,email,role,country,created_at,is_active
1,1,a*lex.white@acct1.io,member,NL,NA,TRUE 
2,2,skyler.wil^son@acct(2.(io,NA,.MX,2025-11-26 14:43:54,TRUE
3,3,p*eyton.miller@acct3.io,member,AR,2025-12-12 10:54:10 ,TRUE
4,4,jam!ie.moore@acc@t!4.i&o,membe(r,CO,2025-12-11 13:54:30,TRUE
5,4,marley.walk#er@acct4.(io,mem&ber,CA,2025-12-21 01:28:11,TRUE
6,4,casey.perry@a+cct4(.io,m@ember,J@P,2025-11-30 05:39:39 ,TRUE
7,4,m*arl-ey$.perez@acct4.io,mem(be@r,U+S,2025-11-16 00:09:46,NA
NA,5,alex.harri+s@a)cct#5.io,a#dmin,FR,2025-12-07 05:15:41,TRUE
9,5,NA,NA,FI,2025-12-26 18:36:39 ,TRUE 
10,5,NA,&membe(r,US ,2025-12-15 00:31:30,TRUE 
NA,5 ,skyle*r.clar!k@acc^t5.io,member,NA,2025-11-24 06:57:48,TRUE
12 ,6,logan.perez@acct6.io,adm-in,NA,2025-11-30 22:12:56,NA
13 ,6,hayden.moore@a(cct6.io,member,^IT,2025-11-18 03:14:34,TRUE
14,6,NA,member ,NL,NA,NA
NA,6,morg$an.miller@acct6.io,admin,FR,2025-12-17 09:16:23,TRUE
16,7,peyton.h-e^rnande+z.@acct7.io,admin,AR,2025-11-23 06:58:02,TRUE
17,7 ,_rile!y.smith@acct7.io,member,P+L,2025-12-11 00:15:51,TRUE
NA,7,quinn.her*nand*ez@acct7.io,adm$in,JP,2025-11-23 08:26:44,TRUE
19,NA,elliot.lewis@acct7.io,member ,I&T,2025-12-23 06:19:35,TRUE
20,7,+quinn.white@$acct7.io,me$mber,NA,2025-12-16 19:06:01 ,TRUE
21,7,p%eyton+.joh-n^son@acct7..i(o,membe+r,G(B,2025-12-11 08:29:41,TRUE
22,7,avery.thomp.son@acct7.io,member,IE,2025-12-17 00:03:02,TRUE
23,7,l$eslie.h$arris@acct7.io,adm$in,I)E,2025-12-03 08:28:35,TRUE
24,8,marley.smith@acct8.io,member,AR,2025-12-14 20:47:59,TRUE
25 ,8,finley&.martinez@acct8.io,member,$PL,2025-11-29 21:20:32,TRUE
26,NA,peyton*.m(arti%n@a+cct8.(io,a.dmin,PE,2025-11-24 07:37:16,NA
27 ,8,quinn.clark@acct8.i)o,^member,CO,2025-11-21 14:10:23,TRUE
28,9 ,chris.morgan@acct9.io,member,S^E,2025-11-20 18:14:26,TRUE
29,9,CASEY.WILSON@ACCT-9.IO,MEMBER,$PE,NA,TRUE 
30,9,elliot.davis@acct9.io,mem#ber,+IT,NA,TRUE
NA,9,rowa@n.harris@acct9.io,memb%er,JP,2025-11-27 02:04:10,TRUE 
32,9,drew.smith@*a^cc%t+9#.io,NA,IE,2025-11-26 08:47:00,TRUE
33,9,NA,*member,NA,2025-11-28 14:11:54,TRUE
34,9 ,mar-ley.smith@acct9.io,member,GB,2025-12-09 16:43:53,TRUE
NA,9,l^og!a!n.%garci#a@acct9.io,m_ember,fr,NA,true
NA,9,logan.ra@mirez@acct9.io,member,PL,2025-11-30 13:24:16,TRUE 
37,NA,marley.sanc^hez*@acct9.io,*member,NA,2025-11-29 05:53:32,NA
38,10 ,elliot.mart)in@ac&ct10.io ,membe^r,PL,2025-12-10 12:48:56,TRUE
39,NA,e$lliot.brown@acct10.io,membe&r,FR,2025-11-27 11:11:40,TRUE
40,10,ri$ley..hernandez_@acct1-0.io,&admin,PE,2025-11-23 15:09:42,TRUE
41,10,pat.taylor@a#cct10.io,admin,JP,2025-12-07 23:18:24,TRUE
42,NA,ellio)t.taylor@acct10.io ,m&ember ,@NL,NA,NA
43,10,elliot.@miller@acct10.io,memb)er,JP,2025-12-03 13:59:15 ,TRUE
44,10,NA,m$ember,CO,2025-12-13 17:07:56 ,TRUE
45,11,quinn.hern-andez@#acct11.io,member,CL,2025-12-15 17:04:27,TRUE
46,11,logan.ga$rcia@acct11.io,member,DE,2025-12-08 04:03:20,TRUE
47 ,NA,pat.hernandez@a$cct11.io ,#ad*min,f_i,NA,true
NA,NA,rowan.mar!ti@nez@acct11.io,me+mber,A$R,2025-11-20 12:29:31,TRUE
49,11,rory.clark@acct11.io,me^mber,MX,2025-11-26 12:35:12,TRUE
50,11 ,hayden.ramir$ez@acct11.io,admin,AR,2025-11-22 16:38:51,TRUE
51,11 ,drew.johnson@acct11!.io,member,IT,2025-12-14 08:37:46,TRUE
52,11,les(lie.moore@.acct11.io,member,US,2025-12-14 00:40:34,FALSE
53,11,chris.davis@acct11.i)o,member,IT ,2025-11-26 14:26:48,TRUE
54,11,NA,member ,FR,2025-12-21 05:38:15 ,TRUE
55,12,logan.white@acc@t12.^i-o,member,GB,2025-12-19 23:31:53,TRUE
56,12,casey.lee@_a%cct12.io,a!dmin,IT,2025-11-27 04:53:32,TRUE
57,NA,mar.ley-.an%derson@acct1-2.io,mem^ber,AU,2025-12-27 07:49:11,NA
58,12,peyton.johnso(n@acct1%2.io ,!member,CO,2025-12-18 00:14:04,TRUE
59,12 ,av)ery.jack!son@acct!12.io,m!ember,CA,2025-12-18 18:55:06,NA
60,12,morgan.lewis@ac&ct12.io,^member,$JP,NA,TRUE
61,12,peyton.gonzalez@acct12.io,member,SG,2025-12-08 04:55:40,TRUE
62,12,NA,member,PE,NA,TRUE
63,NA,sam.lopez@acct12.io,m!ember,SE ,2025-11-27 20:40:36,TRUE 
64,12 ,marley.jac^k-son@a&cct12.io,memb#er ,PL,2025-12-30 15:35:09,TRUE
NA,13,h&ayden.robi@nso(n@acc%t1^3.io,membe+r,IN,2025-12-22 01:59:46,TRUE
